cohort_definition_id,condition_concept_id,concept_name,num_females_COHORT,num_males_COHORT,num_females_this_symptom,num_males_this_symptom,avg_TTD_females_days,avg_TTD_males_days,std_TTD_females_days,std_TTD_males_days
11225,253954,Pulmonary tuberculosis,1012,1174,3,3,704.6666666666666,362.3333333333333,488.0009107459625,494.8281407608998
11225,4341763,Gallstone acute pancreatitis,1012,1174,2,1,171.5,0.0,4.5,0.0
11225,81931,Psoriasis with arthropathy,1012,1174,2,3,51.5,389.0,51.5,371.32286041485065
11225,196625,Viral hepatitis A without hepatic coma,1012,1174,17,18,41.05882352941177,56.611111111111114,132.7250455500505,206.98608082265093
11225,81942,Enthesopathy of ankle AND/OR tarsus,1012,1174,3,3,326.3333333333333,627.6666666666666,373.3830324062529,159.25311788331038
11225,73754,Restless legs,1012,1174,2,4,269.5,345.0,269.5,270.51155243353287
11225,24609,Hypoglycemia,1012,1174,7,17,596.7142857142857,325.0,271.87009202701114,384.90610008462187
11225,4153380,Disorder of carotid artery,1012,1174,3,7,76.66666666666667,321.0,81.17607748318193,407.0654563019143
11225,40484908,Imaging of brain abnormal,1012,1174,24,45,220.75,264.97777777777776,247.42174688845225,278.76333960220245
11225,196653,Malignant tumor of kidney,1012,1174,1,3,4.0,641.3333333333334,0.0,267.9830011192667
11225,442425,Lumbar post-laminectomy syndrome,1012,1174,1,1,831.0,1090.0,0.0,0.0
11225,4210746,Localized amyloidosis,1012,1174,1,1,926.0,0.0,0.0,0.0
11225,4145220,"Drug abuse, continuous",1012,1174,10,24,431.3,358.7083333333333,370.4521696521698,336.9713735574911
11225,4079687,Tumor lysis syndrome,1012,1174,1,6,34.0,40.333333333333336,0.0,36.563491202138906
11225,4317258,Disorder of skin,1012,1174,6,10,753.0,531.5,247.8763132424449,417.153748634721
11225,24660,Acute tonsillitis,1012,1174,4,1,335.25,2.0,328.8216651925478,0.0
11225,73819,Pain of breast,1012,1174,20,3,612.6,329.0,329.8850405823216,395.35047742477815
11225,434272,Varicella,1012,1174,5,1,8.6,206.0,17.2,0.0
11225,4030563,Para 1,1012,1174,1,1,480.0,456.0,0.0,0.0
11225,4317284,Respiratory tract hemorrhage,1012,1174,1,1,0.0,392.0,0.0,0.0
11225,434281,Aspergillosis,1012,1174,1,2,831.0,193.0,0.0,38.0
11225,254058,Acute bronchiolitis due to respiratory syncytial virus,1012,1174,1,1,15.0,273.0,0.0,0.0
11225,196715,Budd-Chiari syndrome,1012,1174,1,2,291.0,290.5,0.0,290.5
11225,45768812,Anemia in chronic kidney disease,1012,1174,40,67,338.375,365.0,356.00496397522323,355.49410642300745
11225,254061,Pleural effusion,1012,1174,81,144,266.7037037037037,328.6458333333333,337.4951831186008,353.0724758135124
11225,73840,"Localized, primary osteoarthritis of the shoulder region",1012,1174,8,13,354.25,309.15384615384613,264.1395227905131,241.35924267296795
11225,36716659,Recurrent aphthous stomatitis,1012,1174,2,1,489.0,0.0,489.0,0.0
11225,196724,Disorder of diaphragm,1012,1174,4,2,124.5,813.5,117.32327134886752,175.5
11225,254068,Disorder of upper respiratory system,1012,1174,1,1,0.0,8.0,0.0,0.0
11225,73843,Synovial cyst of popliteal space,1012,1174,5,3,185.6,386.3333333333333,236.87346833277886,268.11730434436504
11225,196726,Gallbladder calculus with acute cholecystitis and no obstruction,1012,1174,7,3,139.42857142857142,283.0,220.82174915066489,337.1765116374508
11225,434300,Neuroendocrine tumor,1012,1174,1,1,172.0,987.0,0.0,0.0
