cohort_definition_id,condition_concept_id,concept_name,num_females_COHORT,num_males_COHORT,num_females_this_symptom,num_males_this_symptom,avg_TTD_females_days,avg_TTD_males_days,std_TTD_females_days,std_TTD_males_days
11192,436230,Blood chemistry abnormal,168,109,7,2,306.42857142857144,664.0,265.2017329952304,305.0
11192,436231,Abnormal findings diagnostic imaging of liver+biliary tract,168,109,1,1,50.0,102.0,0.0,0.0
11192,436238,Elevated levels of transaminase & lactic acid dehydrogenase,168,109,2,1,449.0,0.0,3.0,0.0
11192,73754,Restless legs,168,109,4,2,36.75,50.5,63.65286717815624,50.5
11192,260123,Acute sinusitis,168,109,3,1,403.6666666666667,443.0,232.35652681935915,0.0
11192,24609,Hypoglycemia,168,109,1,2,446.0,438.5,0.0,216.5
11192,4130851,Injury of upper extremity,168,109,1,1,893.0,0.0,0.0,0.0
11192,79908,Muscle weakness,168,109,1,3,0.0,381.6666666666667,0.0,336.9840088523819
11192,4102183,Borderline glaucoma,168,109,1,2,99.0,128.5,0.0,103.5
11192,440360,Pure hyperglyceridemia,168,109,2,4,94.5,440.0,75.5,263.3068552088988
11192,260139,Acute bronchitis,168,109,1,1,434.0,52.0,0.0,0.0
11192,40484908,Imaging of brain abnormal,168,109,6,6,246.0,310.1666666666667,324.2622395531123,374.42908392496554
11192,200757,Abscess of peritoneum,168,109,1,1,5.0,14.0,0.0,0.0
11192,137275,Disorder of muscle,168,109,1,1,609.0,0.0,0.0,0.0
11192,321596,Peripheral venous insufficiency,168,109,1,2,57.0,307.0,0.0,117.0
11192,440383,Depressive disorder,168,109,13,6,373.3076923076923,365.0,296.97251481612403,212.201162422201
11192,4108356,Cerebral infarction due to embolism of cerebral arteries,168,109,1,1,29.0,558.0,0.0,0.0
11192,4309063,Behavior finding,168,109,1,1,0.0,362.0,0.0,0.0
11192,75860,Constipation,168,109,10,6,418.9,397.3333333333333,241.3128467363476,238.06208340589552
11192,440417,Pulmonary embolism,168,109,1,1,0.0,503.0,0.0,0.0
11192,4149353,"Attention deficit hyperactivity disorder, predominantly inattentive type",168,109,1,1,364.0,655.0,0.0,0.0
11192,381035,Vertigo of central origin,168,109,1,1,465.0,1003.0,0.0,0.0
11192,133228,Dental caries,168,109,1,2,556.0,282.0,0.0,282.0
11192,254061,Pleural effusion,168,109,5,2,86.4,175.5,95.07386602005832,161.5
11192,4272240,Malaise,168,109,11,6,311.09090909090907,629.0,252.82672993949993,153.8039878113265
11192,36716659,Recurrent aphthous stomatitis,168,109,2,1,776.5,324.0,119.5,0.0
11192,313459,Sleep apnea,168,109,11,15,343.09090909090907,208.13333333333333,341.11540423772203,300.26829484460876
11192,135287,Non-neoplastic nevus,168,109,1,2,0.0,364.5,0.0,199.5
11192,434300,Neuroendocrine tumor,168,109,1,1,66.0,480.0,0.0,0.0
11192,40480893,Nonspecific tuberculin test reaction,168,109,1,1,456.0,410.0,0.0,0.0
11192,438398,Leukocytosis,168,109,2,4,485.5,500.25,469.5,290.75623381107414
11192,194686,Acquired renal cystic disease,168,109,2,1,531.5,111.0,531.5,0.0
11192,376961,Disturbance of consciousness,168,109,2,4,68.0,215.25,9.0,364.78581044223745
11192,75909,Disorder of bone,168,109,6,2,455.1666666666667,308.0,403.32510322181645,232.0
11192,4079750,Osteoarthritis of knee,168,109,4,1,426.25,207.0,162.34588846041035,0.0
11192,434311,Disorder of the urea cycle metabolism,168,109,1,1,2.0,0.0,0.0,0.0
11192,75911,Acquired hallux valgus,168,109,3,1,293.3333333333333,274.0,143.31395217803774,0.0
11192,438409,Attention deficit hyperactivity disorder,168,109,8,2,310.0,181.5,323.2804510019126,180.5
11192,200843,Finding of frequency of urination,168,109,4,3,268.75,506.3333333333333,450.60258266015296,189.5649991134674
11192,374924,Generalized convulsive epilepsy,168,109,1,2,117.0,502.5,0.0,82.5
11192,4171917,Localized edema,168,109,4,2,139.25,190.5,122.71791841454939,190.5
11192,200845,Urgent desire to urinate,168,109,3,4,235.33333333333334,455.5,314.60592634101613,227.15248182663555
11192,372887,Disorder of brain,168,109,6,9,179.0,361.6666666666667,130.02435669263406,315.62108083375335
11192,321689,Apnea,168,109,1,1,628.0,714.0,0.0,0.0
11192,192667,Atrophic gastritis,168,109,2,1,507.5,416.0,172.5,0.0
11192,432284,Single major depressive episode,168,109,6,3,461.1666666666667,109.66666666666667,224.51163048319395,151.5615020012961
11192,372892,Metabolic encephalopathy,168,109,1,1,7.0,169.0,0.0,0.0
11192,192671,Gastrointestinal hemorrhage,168,109,1,1,373.0,585.0,0.0,0.0
11192,77987,Respiratory finding of chest,168,109,1,3,470.0,282.6666666666667,0.0,231.724453224562
11192,432295,Pernicious anemia,168,109,1,1,647.0,1.0,0.0,0.0
11192,432303,Cocaine abuse,168,109,1,3,12.0,445.3333333333333,0.0,241.28866990023013
11192,133295,Inflammatory spondylopathy,168,109,1,1,391.0,9.0,0.0,0.0
11192,4169905,Foot pain,168,109,4,1,232.75,0.0,181.28344519012208,0.0
11192,133299,Swelling of limb,168,109,3,3,972.3333333333334,336.0,76.77383813658285,100.07996802557443
11192,4038838,Non-Hodgkin's lymphoma,168,109,1,2,0.0,472.5,0.0,191.5
11192,4305080,Abnormal breathing,168,109,7,4,360.0,249.5,322.42474204954294,253.23654949473624
