,11127,condition_concept_id,concept_name
4550,0.7991796026196974,4082311,B-cell chronic lymphocytic leukemia
398,0.3955285796480974,138379,"Chronic lymphoid leukemia, disease"
2033,0.1170225366865977,320128,Essential hypertension
6930,0.0973824087784324,4281826,Lymphocytosis
3667,0.0885552827133734,4038845,Hairy cell leukemia
9347,0.0844018704608725,439777,Anemia
7563,0.0838116475905167,432867,Hyperlipidemia
9049,0.0817866179957406,438398,Leukocytosis
47,0.0810916334843379,132853,Lymphoid leukemia
7566,0.0795240502066942,432870,Thrombocytopenic disorder
7788,0.0773723698041135,433740,Immunodeficiency disorder
1797,0.0690432966450926,312437,Dyspnea
1713,0.0684581839616597,261880,Atelectasis
86,0.0682929644715393,133438,Chronic lymphoid leukemia in remission
8894,0.0661049614798442,437677,Abnormal findings on diagnostic imaging of lung
7472,0.061624011348409,432571,Malignant lymphoma
1537,0.0578418412948636,254061,Pleural effusion
11434,0.0548907269430849,77670,Chest pain
46,0.0519117174526671,132852,Leukemic reticuloendotheliosis of extranodal AND/OR solid organ site
8892,0.0478080524988159,437663,Fever
1889,0.0468513784163469,315085,Lymphadenopathy
5455,0.044057978033354,4144111,Gastroesophageal reflux disease without esophagitis
6179,0.0411962223978545,4193704,Type 2 diabetes mellitus without complication
158,0.0410896052666732,134305,Acute lymphoid leukemia
11337,0.040945172225447,764123,Atherosclerosis of coronary artery without angina pectoris
1825,0.0405903955978861,313217,Atrial fibrillation
1957,0.0401472790535655,317248,Disorder of hematopoietic structure
1265,0.0401351551841911,200219,Abdominal pain
1555,0.0401351551841911,254761,Cough
5904,0.0386062009041846,4173974,B-cell prolymphocytic leukemia
1578,0.0377742637027681,255848,Pneumonia
8918,0.0372359052792967,437827,Pure hypercholesterolemia
1057,0.0366353261618886,197320,Acute renal failure syndrome
11040,0.0360035950917008,73026,Abnormal breath sounds
530,0.0351385338122602,140673,Hypothyroidism
3661,0.0349202730974317,4038838,Non-Hodgkin's lymphoma
1283,0.0338320955088674,200527,Splenomegaly
2043,0.0330524807399221,320536,Electrocardiogram abnormal
1630,0.0324622578695663,257907,Disorder of lung
2027,0.0317756332253988,320073,Neutropenia
2021,0.031555038321186,319835,Congestive heart failure
6962,0.0306295349878085,42872402,Coronary arteriosclerosis in native artery
8514,0.0305560986757067,436070,Vitamin D deficiency
11728,0.0299449767021926,81902,Urinary tract infectious disease
7575,0.0297480196706121,432881,Pancytopenia
2028,0.029704404996366,320074,Increased blood lymphocyte number
6466,0.0293338547286785,4223659,Fatigue
5828,0.0292273395021115,4168700,Localized enlarged lymph nodes
9910,0.0278680327985486,442077,Anxiety disorder
7753,0.0276266394007685,433595,Edema
