,11144,condition_concept_id,concept_name
1265,0.8633773054337084,200219,Abdominal pain
820,0.2224858025706826,194696,Dysmenorrhea
1064,0.1669161454790816,197381,Epigastric pain
707,0.1028426115128407,193322,Right lower quadrant pain
11434,0.0870518234120239,77670,Chest pain
1120,0.0860402547916106,197988,Generalized abdominal pain
858,0.0819473924774095,195083,Left lower quadrant pain
11263,0.0766656586200667,75860,Constipation
991,0.0757115265833312,196523,Diarrhea
2033,0.0716275468399385,320128,Essential hypertension
1152,0.0706803246263905,198263,Right upper quadrant pain
8892,0.0605238534760927,437663,Fever
1713,0.055838116806609,261880,Atelectasis
1083,0.0556036830312314,197610,Cyst of ovary
1742,0.0544327405691919,27674,Nausea and vomiting
9756,0.054213777094358,441408,Vomiting
8894,0.0527816944570177,437677,Abnormal findings on diagnostic imaging of lung
2961,0.0520842059576254,378253,Headache
1797,0.0520110099243583,312437,Dyspnea
7563,0.0517690960022068,432867,Hyperlipidemia
1555,0.0508514286525345,254761,Cough
6090,0.0493616116690516,4182562,Lower abdominal pain
6585,0.0481673398382652,4239938,First trimester pregnancy
11728,0.0462302414263532,81902,Urinary tract infectious disease
1380,0.0453038982269776,201418,"Flatulence, eructation and gas pain"
930,0.0452726821198644,195867,Noninflammatory disorder of the vagina
11040,0.0441429638894123,73026,Abnormal breath sounds
1049,0.0429824562870089,197236,Uterine leiomyoma
5455,0.0423260377146725,4144111,Gastroesophageal reflux disease without esophagitis
1537,0.0409574979169864,254061,Pleural effusion
770,0.0406350529939202,194133,Low back pain
10337,0.0401360349621939,444094,Finding related to pregnancy
2043,0.0399976389650302,320536,Electrocardiogram abnormal
1397,0.0398854850761188,201618,Disorder of intestine
2017,0.0375914223929855,31967,Nausea
4698,0.0373702695214298,4094448,Pregnancy test negative
6624,0.0371470092653604,4244438,Second trimester pregnancy
1145,0.0364870160023094,198194,Female genital organ symptoms
7674,0.0354724907936889,433316,Dizziness and giddiness
6179,0.0323503562749883,4193704,Type 2 diabetes mellitus without complication
1399,0.0320905140559121,201620,Kidney stone
7786,0.03198427309083,433736,Obesity
199,0.0314368912359198,134736,Backache
9347,0.0314221958008505,439777,Anemia
1082,0.0308927561377153,197607,Excessive and frequent menstruation
5524,0.0292305059848049,4147829,Pain in pelvis
1516,0.0281261046804801,25297,Acute pharyngitis
1091,0.0272667877337204,197684,Dysuria
1370,0.0272384757540376,201340,Gastritis
5614,0.0265935832443113,4152351,"Abdominal distension, gaseous"
