,11159,condition_concept_id,concept_name
1825,0.8172037844876594,313217,Atrial fibrillation
2033,0.1601819354449384,320128,Essential hypertension
1713,0.1395153331949877,261880,Atelectasis
1537,0.1384858069608168,254061,Pleural effusion
5653,0.1250529988863594,4154290,Paroxysmal atrial fibrillation
1797,0.1241467815726947,312437,Dyspnea
7563,0.1221983491130515,432867,Hyperlipidemia
11434,0.1211167601153483,77670,Chest pain
8894,0.1177871626126151,437677,Abnormal findings on diagnostic imaging of lung
6962,0.0957924813940117,42872402,Coronary arteriosclerosis in native artery
11040,0.0931651071943136,73026,Abnormal breath sounds
2021,0.0930161647423451,319835,Congestive heart failure
2043,0.0917654037855213,320536,Electrocardiogram abnormal
11337,0.0705309099673979,764123,Atherosclerosis of coronary artery without angina pectoris
1874,0.0617828056388951,314658,Cardiomegaly
6014,0.0612905501349629,4180628,Disorder of body system
1057,0.0606390792334248,197320,Acute renal failure syndrome
1888,0.0595580712916074,315078,Palpitations
6179,0.0589267905651978,4193704,Type 2 diabetes mellitus without complication
1578,0.0552458693924851,255848,Pneumonia
1924,0.0515483859889204,316139,Heart failure
1630,0.0513012506949794,257907,Disorder of lung
1966,0.0507901602598354,317576,Coronary arteriosclerosis
1877,0.0500394872265117,314665,Atrial flutter
8918,0.0476912331337611,437827,Pure hypercholesterolemia
6148,0.0463882492406489,4188331,Chronic pulmonary edema
1265,0.0454055302761269,200219,Abdominal pain
9347,0.0446420556895129,439777,Anemia
8559,0.0434184439208721,436222,Altered mental status
1188,0.0431606467124205,198803,Benign prostatic hyperplasia
1853,0.042839194985682,314054,Aortic valve disorder
8892,0.0402308691890765,437663,Fever
7674,0.0394477711169753,433316,Dizziness and giddiness
1555,0.0382161445855117,254761,Cough
1898,0.0369343059044717,315296,Preinfarction syndrome
9145,0.0365484341915074,438791,Pulmonary congestion and hypostasis
1799,0.0364836723262917,312648,Benign essential hypertension
6973,0.0364050272835543,4288310,Carotid artery obstruction
10659,0.0359286178630704,45766207,Non-rheumatic mitral valve stenosis with regurgitation
10328,0.0358758298695751,444070,Tachycardia
7753,0.0358223742090694,433595,Edema
3785,0.0357710237709304,40479192,Chronic systolic heart failure
8828,0.0357144754915722,437390,Hypoxemia
1420,0.0353476198520818,201826,Type 2 diabetes mellitus
10917,0.0350455034430896,46271022,Chronic kidney disease
10149,0.0343360932550666,443454,Cerebral infarction
11728,0.0341675267463484,81902,Urinary tract infectious disease
5455,0.0339718651358886,4144111,Gastroesophageal reflux disease without esophagitis
41,0.0334578784997078,132797,Sepsis
5617,0.0327399732444156,4152384,Non-rheumatic aortic sclerosis
