,11192,condition_concept_id,concept_name
9814,0.2516014463435032,43531721,Narcolepsy without cataplexy
2288,0.158475060349983,320128,Essential hypertension
8931,0.1475725991956844,432867,Hyperlipidemia
8178,0.1444576102944563,4272240,Malaise
449,0.1429001158438422,138525,Pain in limb
13524,0.1409532477805746,77670,Chest pain
2036,0.1362807644287323,312437,Dyspnea
10910,0.1304401602389295,439297,Nuclear senile cataract
1777,0.1238208088238197,254761,Cough
2039,0.1230420615985126,312648,Benign essential hypertension
856,0.1214845671478985,194133,Low back pain
1458,0.1203164463099379,200219,Abdominal pain
11742,0.1145034449125424,442588,Obstructive sleep apnea syndrome
1908,0.1066883698670647,260139,Acute bronchitis
8507,0.1047415018037971,4305080,Abnormal breathing
2259,0.0992902712266478,318800,Gastroesophageal reflux disease
9070,0.0989008976139943,433316,Dizziness and giddiness
9164,0.0977327767760337,433595,Edema
6699,0.0961752823254196,4150062,Knee pain
13567,0.0961752823254196,78232,Shoulder joint pain
12281,0.093449667036845,44784217,Cardiac arrhythmia
13864,0.0930602934241915,81902,Urinary tract infectious disease
10992,0.092670919811538,439777,Anemia
2739,0.0918921725862309,37017182,Joint pain of pelvic region
10499,0.0895559309103098,437827,Pure hypercholesterolemia
214,0.0883878100723492,134736,Backache
1793,0.0872196892343887,255573,Chronic obstructive lung disease
13842,0.0871959471650929,81611,Diverticular disease of colon
13715,0.0860176235547538,80180,Osteoarthritis
13781,0.084494073945814,80816,Degeneration of intervertebral disc
13478,0.0829365794951999,77234,Benign neoplasm of colon
2301,0.0829365794951999,320536,Electrocardiogram abnormal
2220,0.0813043291133974,317576,Coronary arteriosclerosis
81,0.0806003378192788,133299,Swelling of limb
13287,0.080518780039838,75860,Constipation
7514,0.0802109642066253,4206148,Syncope and collapse
280,0.0778747225307042,135777,Neoplasm of uncertain behavior of skin
4736,0.0774853489180506,40481919,Coronary atherosclerosis
2077,0.0769838092088208,313459,Sleep apnea
5510,0.0767066016927436,4079750,Osteoarthritis of knee
1832,0.076591034672041,257011,Acute upper respiratory infection
1700,0.0763172280800901,24134,Neck pain
3598,0.0751491072421295,378253,Headache
12521,0.074759733629476,45766714,Inflammatory dermatosis
7374,0.073980986404169,4193704,Type 2 diabetes mellitus without complication
10514,0.0734155119875486,437854,Cataplexy and narcolepsy
2275,0.0728128655662084,319835,Congestive heart failure
13779,0.0726632893042441,80813,Lumbosacral spondylosis without myelopathy
11875,0.0720341183409013,443410,Infective pneumonia
3326,0.0712553711155943,375545,Cataract
