,11146,condition_concept_id,concept_name
11877,0.3813125667154245,443412,Type 1 diabetes mellitus without complication
8931,0.1662981952086922,432867,Hyperlipidemia
2288,0.1592383661668138,320128,Essential hypertension
2036,0.1351079452088589,312437,Dyspnea
449,0.1290865460472144,138525,Pain in limb
13524,0.1286756565262585,77670,Chest pain
11838,0.1264535834598474,443238,Diabetic - poor control
4067,0.1233336917105997,4008576,Diabetes mellitus without complication
8178,0.1211302307777958,4272240,Malaise
2039,0.1203458053286982,312648,Benign essential hypertension
1637,0.1194418483825953,201826,Type 2 diabetes mellitus
1777,0.1143244061670537,254761,Cough
10910,0.1088931937718732,439297,Nuclear senile cataract
10499,0.1067789804185911,437827,Pure hypercholesterolemia
7374,0.1061290279036245,4193704,Type 2 diabetes mellitus without complication
10992,0.1060244378437448,439777,Anemia
1458,0.1018856597599346,200219,Abdominal pain
13864,0.1011311171850883,81902,Urinary tract infectious disease
570,0.097985944670135,140648,Onychomycosis due to dermatophyte
9164,0.0946241213168596,433595,Edema
8507,0.0935483378438115,4305080,Abnormal breathing
856,0.0926966759276484,194133,Low back pain
1198,0.0917329532330427,197320,Acute renal failure syndrome
2301,0.0904778725144866,320536,Electrocardiogram abnormal
9070,0.0882814812570133,433316,Dizziness and giddiness
11991,0.0857291993706332,443730,Disorder of nervous system due to diabetes mellitus
2275,0.0844714147899678,319835,Congestive heart failure
2320,0.0831266854486576,321052,Peripheral vascular disease
2220,0.0815015199712902,317576,Coronary arteriosclerosis
4736,0.0809004113169329,40481919,Coronary atherosclerosis
12281,0.0805716997001682,44784217,Cardiac arrhythmia
2259,0.0798769228738246,318800,Gastroesophageal reflux disease
10730,0.0746623613169663,438720,Mixed hyperlipidemia
13693,0.0723912628738646,79908,Muscle weakness
2125,0.0717413103588981,314658,Cardiomegaly
6699,0.0709494141912376,4150062,Knee pain
1908,0.0708522948499208,260139,Acute bronchitis
11948,0.0696644505984301,443597,Chronic kidney disease stage 3
13715,0.0683587875783239,80180,Osteoarthritis
1793,0.0683197212571199,255573,Chronic obstructive lung disease
81,0.0679461853289782,133299,Swelling of limb
13567,0.0678789488619127,78232,Shoulder joint pain
12882,0.0678415952690985,46271022,Chronic kidney disease
1947,0.0668405189816787,261880,Atelectasis
214,0.0667135167661105,134736,Backache
4804,0.0665865145505424,40483287,Disorder of kidney and/or ureter
11875,0.0660486228140183,443410,Infective pneumonia
11993,0.0659664449098271,443732,Disorder due to type 2 diabetes mellitus
2065,0.0658020891014447,313217,Atrial fibrillation
2739,0.0655630261074341,37017182,Joint pain of pelvic region
