,11215,condition_concept_id,concept_name
9813,0.5076406081054158,43531681,Acute deep vein thrombosis of lower limb
2036,0.1611446154604272,312437,Dyspnea
449,0.1553680142412623,138525,Pain in limb
81,0.1476417094027977,133299,Swelling of limb
9164,0.1424814401128742,433595,Edema
2288,0.1385457780549077,320128,Essential hypertension
13524,0.1351982497333414,77670,Chest pain
12147,0.1278566318509739,444247,Venous thrombosis
8178,0.1227024219914659,4272240,Malaise
10992,0.1225251762078932,439777,Anemia
1198,0.1149156924540561,197320,Acute renal failure syndrome
8931,0.1131472629315921,432867,Hyperlipidemia
1758,0.107064509904438,254061,Pleural effusion
1458,0.1055941755634372,200219,Abdominal pain
8507,0.1055377791777549,4305080,Abnormal breathing
13864,0.1042487189335898,81902,Urinary tract infectious disease
1947,0.0995799038617543,261880,Atelectasis
1777,0.0963935080707087,254761,Cough
2275,0.0914346544439361,319835,Congestive heart failure
2301,0.090407434561867,320536,Electrocardiogram abnormal
9744,0.0873396169260759,43530605,Pulmonary embolism with pulmonary infarction
2065,0.0870881044331419,313217,Atrial fibrillation
12281,0.0859803182858125,44784217,Cardiac arrhythmia
13693,0.0853881562361491,79908,Muscle weakness
11875,0.0850658911751078,443410,Infective pneumonia
2039,0.0848926737047982,312648,Benign essential hypertension
10069,0.0806871146582095,436222,Altered mental status
7043,0.0789549399551127,4168694,Lung field abnormal
9947,0.0752730616327161,435796,Dehydration
2125,0.0736697929540357,314658,Cardiomegaly
45,0.0736214531948795,132797,Sepsis
10461,0.0732933124816683,437663,Fever
856,0.0722397417456651,194133,Low back pain
1854,0.0702658682467872,257907,Disorder of lung
10499,0.0693675543891347,437827,Pure hypercholesterolemia
2259,0.068948609809781,318800,Gastroesophageal reflux disease
2268,0.0684692405314821,319049,Acute respiratory failure
10306,0.0671922652271061,437113,Asthenia
1793,0.0669707079976402,255573,Chronic obstructive lung disease
9070,0.0664832820928153,433316,Dizziness and giddiness
2575,0.06642285739387,36714126,Difficulty walking
2739,0.0660482242604095,37017182,Joint pain of pelvic region
13715,0.0660359051471748,80180,Osteoarthritis
6699,0.0657984688381025,4150062,Knee pain
2320,0.0653513260659078,321052,Peripheral vascular disease
2205,0.064916268233502,317002,Low blood pressure
2220,0.0646908873265044,317576,Coronary arteriosclerosis
13287,0.0628623132500642,75860,Constipation
10384,0.0620319959371826,437390,Hypoxemia
4736,0.0613230128028918,40481919,Coronary atherosclerosis
