,11126,condition_concept_id,concept_name
423,0.4684563186415748,137977,Jaundice
1524,0.1625579997351599,200219,Abdominal pain
1854,0.1249672621965828,254761,Cough
2115,0.1246464609639266,312437,Dyspnea
14626,0.1237402048859571,77670,Chest pain
2060,0.1220419129717908,27674,Nausea and vomiting
11897,0.109058856422851,439777,Anemia
14978,0.1060682113655516,81902,Urinary tract infectious disease
11332,0.1010113024504817,437663,Fever
3776,0.0991806651729833,378253,Headache
10932,0.0980174824631866,436230,Blood chemistry abnormal
8163,0.0955012654964271,4209423,Nicotine dependence
2356,0.0929346881851105,31967,Nausea
900,0.0928731228703155,194133,Low back pain
11378,0.0921850674462576,437833,Hypokalemia
1337,0.0903567241807626,197988,Generalized abdominal pain
1180,0.0887587202763339,196523,Diarrhea
14384,0.0883780927235867,75860,Constipation
7103,0.0869377222742869,4144111,Gastroesophageal reflux disease without esophagitis
1377,0.0864205795951726,198263,Right upper quadrant pain
2374,0.0856774496112376,320128,Essential hypertension
10804,0.0852605718153716,435796,Dehydration
8875,0.0852373630373766,4272240,Malaise
1910,0.0834299345378732,257011,Acute upper respiratory infection
1259,0.0830616345514376,197320,Acute renal failure syndrome
1271,0.0825496984370989,197381,Epigastric pain
224,0.0817080479897311,134736,Backache
12544,0.0816174223819342,442077,Anxiety disorder
10755,0.0811487896609011,435656,Neonatal jaundice
8274,0.0810974279263635,4218813,Third trimester pregnancy
4407,0.0802883651184396,4014295,Single live birth
9866,0.0790027125020387,433316,Dizziness and giddiness
8950,0.0786086522030754,4282096,"Major depression, single episode"
13068,0.0710128524318255,444070,Tachycardia
10714,0.0709945689991706,435515,Hypo-osmolality and or hyponatremia
10904,0.0708692252972158,436096,Chronic pain
10930,0.0705740500481067,436222,Altered mental status
464,0.0704523475013498,138525,Pain in limb
1813,0.069999219462365,25297,Acute pharyngitis
11849,0.0694272518301233,439658,Disorder of pregnancy
2387,0.0691110885059549,320536,Electrocardiogram abnormal
10631,0.0690698091901343,43530950,Complication occurring during pregnancy
1989,0.0684531718601326,260139,Acute bronchitis
2028,0.0680509363417237,261880,Atelectasis
12358,0.0679329556045946,441408,Vomiting
47,0.0677517043890007,132797,Sepsis
9724,0.0661929439348931,432867,Hyperlipidemia
11170,0.0652323124922454,437113,Asthenia
1835,0.0645953675699381,254061,Pleural effusion
10009,0.0643441815358353,433736,Obesity
