,11203,condition_concept_id,concept_name
12411,0.4114814296384404,440383,Depressive disorder
9216,0.2579501566698435,4282096,"Major depression, single episode"
1879,0.1774148853948862,25297,Acute pharyngitis
1976,0.1753898640389219,257011,Acute upper respiratory infection
10191,0.1618390189756592,433440,Dysthymia
1920,0.1618284375446679,254761,Cough
1583,0.1570376946633465,200219,Abdominal pain
9137,0.1514163094492063,4272240,Malaise
2049,0.1432606715126443,260123,Acute sinusitis
15097,0.1417700124217417,77670,Chest pain
915,0.1376048966477823,194133,Low back pain
3886,0.1346182877504815,378253,Headache
1973,0.1198188338302427,257007,Allergic rhinitis
468,0.1184630879844795,138525,Pain in limb
6830,0.1129289995760177,4113821,Anxiety state
2446,0.1119462491726987,320128,Essential hypertension
12897,0.1110640223637971,442077,Anxiety disorder
2055,0.1097876372504688,260139,Acute bronchitis
15460,0.1081184165115877,81902,Urinary tract infectious disease
10669,0.1067428304827157,434613,Generalized anxiety disorder
10008,0.1046860648337774,432867,Hyperlipidemia
1842,0.0965965608409111,24134,Neck pain
2183,0.0872042181572383,312437,Dyspnea
13974,0.0867439259091158,45766714,Inflammatory dermatosis
10299,0.0867042455428983,433736,Obesity
11655,0.0846911282967992,437663,Fever
11201,0.0840707919049329,436070,Vitamin D deficiency
629,0.0838247736343846,141095,Acne
224,0.0821859745096035,134736,Backache
10155,0.0815233123937719,433316,Dizziness and giddiness
7461,0.0795247446152859,4150062,Knee pain
5441,0.0784480840119188,4049623,"Moderate major depression, single episode"
15143,0.0778568465552786,78232,Shoulder joint pain
8588,0.073522427885458,4223659,Fatigue
1350,0.0689790259535588,197684,Dysuria
15172,0.0688705662858978,78508,Arthralgia of the ankle and/or foot
1977,0.0673468402231473,257012,Chronic sinusitis
1213,0.0671047899892208,196523,Diarrhea
2415,0.0667873470594811,318800,Gastroesophageal reflux disease
2663,0.0652636209967306,36684319,Adjustment disorder with mixed anxiety and depressed mood
12295,0.0643853622244509,440029,Viral disease
1164,0.0624229989746831,196168,Irregular periods
292,0.0618709496851378,135777,Neoplasm of uncertain behavior of skin
11464,0.0612254823946671,436962,Insomnia
2426,0.0608696817775839,31967,Nausea
567,0.0606448263690183,140214,Eruption
2128,0.0587864625511672,27674,Nausea and vomiting
12231,0.0572296695165689,439777,Anemia
3216,0.0567389556543463,372328,Otitis media
2132,0.0566159465190722,28060,Streptococcal sore throat
