,11150,condition_concept_id,concept_name
8225,0.3474900382852149,4193704,Type 2 diabetes mellitus without complication
2446,0.2619542796362213,320128,Essential hypertension
10008,0.2466755509916936,432867,Hyperlipidemia
15097,0.1752065398766387,77670,Chest pain
2187,0.1692319716012581,312648,Benign essential hypertension
9137,0.1596655669016156,4272240,Malaise
1976,0.1528218048946296,257011,Acute upper respiratory infection
1920,0.1525950378593019,254761,Cough
1583,0.1497899344265261,200219,Abdominal pain
915,0.1417859689829793,194133,Low back pain
2049,0.1398956044580375,260123,Acute sinusitis
468,0.1392867373652969,138525,Pain in limb
11697,0.1354398479541547,437827,Pure hypercholesterolemia
2055,0.1332905950590711,260139,Acute bronchitis
1879,0.1192166561815175,25297,Acute pharyngitis
10299,0.1142177135232448,433736,Obesity
15460,0.1123254313066723,81902,Urinary tract infectious disease
1973,0.1114701408393894,257007,Allergic rhinitis
2183,0.1084277230673171,312437,Dyspnea
3886,0.1062319661501896,378253,Headache
11201,0.1055516650442062,436070,Vitamin D deficiency
2415,0.1023457640606184,318800,Gastroesophageal reflux disease
11940,0.0986983145790669,438720,Mixed hyperlipidemia
7461,0.0970174578647767,4150062,Knee pain
11899,0.0930334535020409,438557,Abnormal glucose level
1842,0.0926086848058455,24134,Neck pain
457,0.0899867209237996,138384,Acquired hypothyroidism
224,0.084852581005564,134736,Backache
12231,0.0847514227720457,439777,Anemia
15143,0.083303565590883,78232,Shoulder joint pain
10155,0.080722352655989,433316,Dizziness and giddiness
13974,0.0806322211493471,45766714,Inflammatory dermatosis
13045,0.0789858828844091,442588,Obstructive sleep apnea syndrome
11248,0.0758562101431409,436230,Blood chemistry abnormal
15048,0.0716267412516782,77234,Benign neoplasm of colon
9526,0.0680852442327217,4305080,Abnormal breathing
1977,0.066640263589005,257012,Chronic sinusitis
292,0.0661896060557954,135777,Neoplasm of uncertain behavior of skin
9567,0.0635964075482097,4308509,Impaired fasting glycemia
4947,0.0635033995041217,4043371,Inflammatory disorder of digestive tract
15172,0.0630949311867871,78508,Arthralgia of the ankle and/or foot
2290,0.0609811555868711,315078,Palpitations
6830,0.0602490768068594,4113821,Anxiety state
12411,0.0594484405510508,440383,Depressive disorder
2459,0.0585605493260464,320536,Electrocardiogram abnormal
6081,0.0564069816247938,4079750,Osteoarthritis of knee
1213,0.0562521280256165,196523,Diarrhea
10420,0.0558211268316214,434005,Morbid obesity
2362,0.0548977583114494,317009,Asthma
15436,0.0540630830291964,81611,Diverticular disease of colon
